1549354801, 5.58157
1549355401, 5.55872
1549356001, 5.56148
1549356601, 5.55654
1549357201, 5.55962
1549357801, 5.55918
1549358401, 5.55842
1549359001, 5.56014
1549359601, 5.56675
1549360201, 5.55921
1549360801, 5.56109
1549361401, 5.56229
1549362001, 5.56224
1549362601, 5.562
1549363201, 5.56403
1549363801, 5.57758
1549364402, 5.56565
1549365001, 5.56464
1549365601, 5.56322
1549366201, 5.56513
1549366801, 5.56626
1549367401, 5.5646
1549368001, 5.56298
1549368601, 5.56584
1549369201, 5.56545
1549369801, 5.56317
1549370401, 5.56575
1549371001, 5.56545
1549371601, 5.56565
1549372201, 5.56445
1549372801, 5.56798
1549373401, 5.5656
1549374001, 5.56526
1549374601, 5.57525
1549375201, 5.56687
1549375801, 5.56798
